method_id,method,all,,LETOR 2.0 OHSUMED,,LETOR 3.0 OHSUMED,,LETOR 2.0 TD2003,,LETOR 3.0 TD2003,,LETOR 2.0 TD2004,,LETOR 3.0 TD2004,,NP2003,,NP2004,,HP2003,,HP2004,,MQ2007,,MQ2008,,MSLR-WEB10k,,MSLR-WEB30k,,Yandex IMC,,AOL,,Yahoo Set 1,,Yahoo Set 2,,WCL2R FS,,WCL2R NC,,,Mean,,Std. Dev,,Median,,Q1,,Q3,,Max,,Min,
44,LambdaRank,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,9,0.77777778,9,0.77777778,15,0.2,24,0.41666667,24,0.41666667,24,0.41666667,,22.05,0.441944448,4.769433929,0.121442907,24,0.41666667,24,0.41666667,24,0.41666667,24,0.77777778,9,0.2
45,LARF,379,0.98680739,379,0.98680739,225,0.99555556,379,0.98680739,264,0.98484848,379,0.98680739,269,0.98141264,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,,360.05,0.986877116,45.74874315,0.002338524,379,0.98680739,379,0.98680739,379,0.98680739,379,0.99555556,225,0.98141264
46,ListMLE,240,0.0125,240,0.0125,126,0,240,0.0125,179,0.01675978,240,0.0125,183,0.01639344,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,232,0.01293103,240,0.0125,240,0.0125,,228,0.012304213,29.28310093,0.003073872,240,0.0125,240,0.0125,240,0.0125,240,0.01675978,126,0
47,ListNet,931,0.49516649,890,0.48988764,777,0.54954955,884,0.47171946,816,0.48529412,893,0.49832027,821,0.52375152,876,0.48515982,849,0.4770318,876,0.46803653,849,0.5041225,850,0.49764706,860,0.49883721,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,,884.45,0.49553447,45.90040849,0.016914232,887,0.49516649,849.75,0.48873926,931,0.497815363,931,0.54954955,777,0.46803653
48,ListReg,291,0.61168385,291,0.61168385,173,0.60115607,291,0.61168385,205,0.57073171,291,0.61168385,204,0.66176471,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,291,0.61168385,,276.45,0.611613897,35.11050413,0.014655897,291,0.61168385,291,0.61168385,291,0.61168385,291,0.66176471,173,0.57073171
49,LRUF,460,0.97826087,460,0.97826087,306,0.96732026,460,0.97826087,345,0.97971014,460,0.97826087,350,0.99142857,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,379,0.97361478,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,460,0.97826087,,437,0.978212384,47.4457585,0.003979477,460,0.97826087,460,0.97826087,460,0.97826087,460,0.99142857,306,0.96732026
50,MCP,70,0.57142857,70,0.57142857,32,0.40625,70,0.57142857,38,0.71052632,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,70,0.57142857,,66.5,0.570124529,10.54277003,0.048269107,70,0.57142857,70,0.57142857,70,0.57142857,70,0.71052632,32,0.40625
51,MHR,41,0.41463415,,,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,,41,0.41463415,0,2.22E-16,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415,41,0.41463415
52,MultiStageBoost,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,22,0.18181818,44,0.13636364,22,0.09090909,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,44,0.13636364,,41.8,0.13636364,6.6,0.014373989,44,0.13636364,44,0.13636364,44,0.13636364,44,0.18181818,22,0.09090909
53,NewLoss,275,0.45090909,275,0.45090909,159,0.50314465,275,0.45090909,192,0.52083333,275,0.45090909,199,0.34170854,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,275,0.45090909,,261.25,0.451557053,33.42136293,0.031252453,275,0.45090909,275,0.45090909,275,0.45090909,275,0.52083333,159,0.34170854
54,OWPC,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,203,0.591133,263,0.63498099,201,0.71641791,234,0.67521368,221,0.59276018,235,0.65531915,221,0.57918552,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,263,0.63498099,,249.85,0.634988165,21.37586256,0.027823244,263,0.63498099,234.75,0.63498099,263,0.63498099,263,0.71641791,201,0.57918552
55,RankELM (pairwise),186,0.60215054,186,0.60215054,32,0.59375,186,0.60215054,154,0.6038961,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,186,0.60215054,,176.7,0.601817791,33.91916862,0.001889466,186,0.60215054,186,0.60215054,186,0.60215054,186,0.6038961,32,0.59375
56,PERF-MAP,460,0.41956522,460,0.41956522,306,0.46732026,460,0.41956522,345,0.46376812,460,0.41956522,350,0.3,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,379,0.45118734,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,460,0.41956522,,437,0.419765962,47.4457585,0.031248548,460,0.41956522,460,0.41956522,460,0.41956522,460,0.46732026,306,0.3
57,PermuRank,44,0.40909091,29,0.48275862,44,0.40909091,28,0.35714286,44,0.40909091,31,0.38709677,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,44,0.40909091,,41.8,0.409077186,5.259277517,0.020747614,44,0.40909091,44,0.40909091,44,0.40909091,44,0.48275862,28,0.35714286
58,RankELM (pointwise),186,0.66129032,186,0.66129032,32,0.4375,186,0.66129032,154,0.70779221,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,186,0.66129032,,176.7,0.652425899,33.91916862,0.050335362,186,0.66129032,186,0.66129032,186,0.66129032,186,0.70779221,32,0.4375
59,Q.D.KNN,229,0.45851528,229,0.45851528,115,0.67826087,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,168,0.31547619,175,0.45142857,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,229,0.45851528,,217.55,0.46199627,29.16414751,0.058547494,229,0.45851528,229,0.45851528,229,0.45851528,229,0.67826087,115,0.31547619
60,RandomForest,341,0.43108504,341,0.43108504,341,0.43108504,341,0.43108504,280,0.39285714,341,0.43108504,284,0.38028169,311,0.41157556,298,0.47315436,311,0.39228296,298,0.47986577,298,0.46308725,307,0.45276873,341,0.43108504,341,0.43108504,341,0.43108504,341,0.43108504,341,0.43108504,341,0.43108504,341,0.43108504,341,0.43108504,,323.95,0.430944697,21.97606653,0.024053993,341,0.43108504,304.75,0.43108504,341,0.43108504,341,0.47986577,280,0.38028169
61,Rank-PMBGP,40,0.675,40,0.675,40,0.675,,,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675,,40,0.675,0,2.22E-16,40,0.675,40,0.675,40,0.675,40,0.675,40,0.675
62,RangAggNDCG,229,0.72052402,229,0.72052402,115,0.95652174,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,168,0.64285714,175,0.64,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,229,0.72052402,,217.55,0.724414361,29.16414751,0.058270272,229,0.72052402,229,0.72052402,229,0.72052402,229,0.95652174,115,0.64
63,RankBoost,942,0.33121019,911,0.33918771,788,0.37436548,895,0.33519553,827,0.34703748,914,0.31619256,832,0.27644231,887,0.30439684,860,0.35697674,887,0.32807215,860,0.35348837,861,0.30662021,871,0.34328358,938,0.33049041,942,0.33121019,942,0.33121019,942,0.33121019,933,0.32904609,936,0.32692308,936,0.33333333,936,0.33333333,,894.9,0.331400789,44.68321833,0.020110687,903,0.33121019,860.75,0.327784883,936,0.340211678,942,0.37436548,788,0.27644231
64,RankCSA,36,0.91666667,21,0.85714286,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,15,1,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,36,0.91666667,,34.2,0.917857146,5.482700065,0.0228683,36,0.91666667,36,0.91666667,36,0.91666667,36,1,15,0.85714286
65,RankDE,40,0.625,40,0.625,40,0.625,,,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625,,40,0.625,0,0,40,0.625,40,0.625,40,0.625,40,0.625,40,0.625
66,RCP,104,0.52884615,71,0.50704225,104,0.52884615,64,0.4375,104,0.52884615,73,0.63013699,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,104,0.52884615,,98.8,0.52825319,12.46835996,0.030880683,104,0.52884615,104,0.52884615,104,0.52884615,104,0.63013699,64,0.4375
67,RankMGP,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,,,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,,18,0.22222222,0,2.78E-17,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222,18,0.22222222
68,RankNet,173,0.38150289,173,0.38150289,173,0.38150289,173,0.38150289,90,0.34444444,173,0.38150289,173,0.38150289,173,0.38150289,173,0.38150289,173,0.38150289,173,0.38150289,113,0.32743363,173,0.38150289,173,0.38150289,173,0.38150289,158,0.41772152,158,0.41772152,164,0.40243902,167,0.38323353,173,0.38150289,173,0.38150289,,163.6,0.381701706,21.55087005,0.019184522,173,0.38150289,166.25,0.38150289,173,0.38150289,173,0.41772152,90,0.32743363
69,RankRLS,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,16,0.1875,22,0.5,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,38,0.36842105,,36.1,0.365953945,5.778408085,0.049961843,38,0.36842105,38,0.36842105,38,0.36842105,38,0.5,16,0.1875
70,RankSVM,638,0.37460815,847,0.36599764,734,0.4359673,841,0.34482759,773,0.33635188,850,0.37176471,778,0.38303342,833,0.34333733,806,0.34367246,833,0.37334934,806,0.37593052,825,0.36363636,888,0.36486486,884,0.36538462,888,0.36486486,873,0.36426117,873,0.36426117,879,0.35836177,882,0.361678,882,0.36281179,882,0.36054422,,842.85,0.365245051,43.43187194,0.019787573,848.5,0.36426117,820.25,0.359998608,882,0.367439408,888,0.4359673,734,0.33635188
71,RankSVM-Primal,690,0.4115942,690,0.4115942,536,0.39925373,690,0.4115942,575,0.36173913,690,0.4115942,580,0.47068966,635,0.40629921,608,0.41447368,635,0.3984252,608,0.42927632,690,0.4115942,653,0.41194487,690,0.4115942,690,0.4115942,690,0.4115942,690,0.4115942,690,0.4115942,690,0.4115942,690,0.4115942,690,0.4115942,,655.5,0.41156161,48.01197767,0.018238145,690,0.4115942,628.25,0.4115942,690,0.4115942,690,0.47068966,536,0.36173913
72,RankSVM-Struct,805,0.39254658,805,0.39254658,651,0.3625192,805,0.39254658,690,0.35507246,805,0.39254658,695,0.42589928,750,0.39333333,723,0.38450899,750,0.38666667,723,0.40248963,724,0.39917127,734,0.41961853,805,0.39254658,805,0.39254658,805,0.39254658,805,0.39254658,805,0.39254658,805,0.39254658,805,0.39254658,805,0.39254658,,764.75,0.392364587,48.85680608,0.014820813,805,0.39254658,723.75,0.39254658,805,0.392743268,805,0.42589928,651,0.35507246
73,RE-QR,179,0.86592179,179,0.86592179,141,0.85106383,179,0.86592179,147,0.85714286,179,0.86592179,145,0.87586207,163,0.85276074,157,0.86624204,164,0.86585366,157,0.89171975,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,179,0.86592179,,170.05,0.865881411,13.17374282,0.007859581,179,0.86592179,161.5,0.86592179,179,0.86592179,179,0.89171975,141,0.85106383
74,REG-SHG-SDCG,118,0.5,118,0.5,,,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5,,118,0.5,0,0,118,0.5,118,0.5,118,0.5,118,0.5,118,0.5
75,Regression,771,0.08300908,771,0.08300908,617,0.09886548,771,0.08300908,656,0.05945122,771,0.08300908,661,0.07110439,716,0.08938547,689,0.09143687,716,0.08938547,689,0.09288824,690,0.08550725,734,0.06948229,771,0.08300908,771,0.08300908,771,0.08300908,771,0.08300908,771,0.08300908,771,0.08300908,771,0.08300908,771,0.08300908,,732.45,0.083030328,48.34612187,0.008328469,771,0.08300908,689.75,0.08300908,771,0.086476805,771,0.09886548,617,0.05945122
76,RSRank,389,0.59897172,389,0.59897172,235,0.66808511,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,307,0.53094463,389,0.59897172,307,0.57654723,389,0.59897172,318,0.63522013,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,389,0.59897172,,369.55,0.599717231,41.61667334,0.023674918,389,0.59897172,389,0.59897172,389,0.59897172,389,0.66808511,235,0.53094463
77,SmoothGrad,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,13,0.38461538,9,0.33333333,13,0.38461538,13,0.38461538,4,0.5,13,0.38461538,13,0.38461538,13,0.38461538,,12.35,0.387820509,2.104162541,0.02805174,13,0.38461538,13,0.38461538,13,0.38461538,13,0.5,4,0.33333333
78,SmoothRank,653,0.60030628,653,0.60030628,499,0.60521042,653,0.60030628,538,0.63197026,653,0.60030628,543,0.62615101,598,0.59197324,571,0.60420315,598,0.58026756,571,0.56742557,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,653,0.60030628,,620.35,0.600559143,48.58937641,0.01276841,653,0.60030628,591.25,0.60030628,653,0.60030628,653,0.63197026,499,0.56742557
79,SoftRank,116,0.37068966,116,0.37068966,,,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,,116,0.37068966,0,0,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966,116,0.37068966
80,SortNet,239,0.47698745,239,0.47698745,123,0.59349593,215,0.46976744,207,0.5410628,221,0.43438914,205,0.40487805,239,0.47698745,239,0.47698745,239,0.47698745,239,0.47698745,239,0.47698745,239,0.47698745,239,0.47698745,239,0.47698745,224,0.46875,224,0.46875,239,0.47698745,239,0.47698745,239,0.47698745,239,0.47698745,,226.3,0.479096511,26.22994472,0.03520876,239,0.47698745,223.25,0.475182448,239,0.47698745,239,0.59349593,123,0.40487805
81,SparseRank,319,0.81191223,319,0.81191223,203,0.82758621,319,0.81191223,236,0.81355932,319,0.81191223,319,0.81191223,319,0.81191223,259,0.77992278,319,0.81191223,259,0.83011583,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,319,0.81191223,,303.05,0.812088991,33.50891672,0.008951139,319,0.81191223,319,0.81191223,319,0.81191223,319,0.83011583,203,0.77992278
82,RankBoost (SVD),104,0.47115385,71,0.45070423,104,0.47115385,64,0.609375,104,0.47115385,73,0.36986301,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,104,0.47115385,,98.8,0.471977885,12.46835996,0.038580777,104,0.47115385,104,0.47115385,104,0.47115385,104,0.609375,64,0.36986301
83,SVM-MAP,737,0.34599729,722,0.34764543,583,0.39279588,721,0.34257975,622,0.34726688,724,0.34392265,627,0.39712919,682,0.32111437,655,0.32061069,682,0.35630499,655,0.30229008,697,0.34289813,737,0.34599729,737,0.34599729,737,0.34599729,737,0.34599729,737,0.34599729,737,0.34599729,737,0.34599729,737,0.34599729,737,0.34599729,,700.15,0.346426683,46.70682498,0.020138292,723,0.34599729,675.25,0.34366652,737,0.346314688,737,0.39712919,583,0.30229008
84,SwarmRank,40,0.125,40,0.125,40,0.125,,,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125,,40,0.125,0,0,40,0.125,40,0.125,40,0.125,40,0.125,40,0.125
85,TGRank,389,0.52956298,389,0.52956298,235,0.47234043,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,307,0.50488599,389,0.52956298,307,0.51791531,389,0.52956298,318,0.60691824,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,389,0.52956298,,369.55,0.528753383,41.61667334,0.022349239,389,0.52956298,389,0.52956298,389,0.52956298,389,0.60691824,235,0.47234043
86,TM,99,0.65656566,66,0.62121212,99,0.65656566,63,0.63492063,99,0.65656566,69,0.71014493,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,99,0.65656566,,94.05,0.656394695,11.82148468,0.015146837,99,0.65656566,99,0.65656566,99,0.65656566,99,0.71014493,63,0.62121212
87,VFLR,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,18,1,21,0.95238095,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,39,0.97435897,,37.05,0.974542121,5.869199264,0.007549255,39,0.97435897,39,0.97435897,39,0.97435897,39,1,18,0.95238095
